recipe_name,num_stars,method,cook_mastery_effect,cook_mastery_value,taste_mastery_effect,taste_mastery_value
Rookie Fish Steak,1,FRY,ATTACK,1.5,ATTACK,1.0
Rookie Fried Dish,1,FRY,MAX_SP,3.0,MAX_SP,2.0
Rookie Jam,1,FRY,MAGIC_ATTACK,1.5,MAGIC_ATTACK,1.0
Rookie Meat Steak,1,FRY,MAX_HP,15.0,MAX_HP,10.0
Healthy Salad,2,FRY,MAGIC_ATTACK,1.5,MAGIC_ATTACK,1.0
Seafood Bowl,2,FRY,MAX_HP,15.0,ATTACK,1.0
Traveler Bacon,2,FRY,DEFENSE,1.5,DEFENSE,1.0
Seafood Rice,3,FRY,MAX_HP,15.0,ATTACK,1.0
Delicious Steak,3,FRY,DEFENSE,1.5,MAGIC_DEFENSE,1.0
Vegetable Meal,3,FRY,MAGIC_ATTACK,1.5,MAGIC_ATTACK,1.0
East Seafood Kebab,4,FRY,MAX_HP,30.0,ATTACK,2.0
Flame God History,4,FRY,DEFENSE,3.0,MAX_HP,20.0
Spicy Branch Vegetable,4,FRY,MAGIC_ATTACK,3.0,ATTACK,2.0
Yummy Fish Steak,5,FRY,MAX_SP,6.0,ATTACK,2.0
Yummy Salad,5,FRY,MAGIC_ATTACK,3.0,MAX_SP,4.0
Yummy Steak,5,FRY,DEFENSE,3.0,MAX_HP,20.0
Fantasy Salad,6,FRY,MAX_SP,6.0,MAGIC_ATTACK,2.0
Fantasy Seafood Kebab,6,FRY,MAX_HP,30.0,ATTACK,2.0
Fantasy Steak,6,FRY,DEFENSE,3.0,MAX_HP,20.0
Forest Treasure,7,FRY,MAX_SP,6.0,MAGIC_ATTACK,2.0
Geffen Steak,7,FRY,DEFENSE,3.0,MAX_HP,20.0
Hydra,7,FRY,ATTACK,3.0,ATTACK,2.0
Desert Steak,8,FRY,DEFENSE,4.5,MAX_HP,30.0
Fishman's Soul,8,FRY,ATTACK,4.5,ATTACK,3.0
Sweet Coriander,8,FRY,MAX_SP,9.0,MAGIC_ATTACK,3.0
Prontera Royal Fish Steak,9,FRY,ATTACK,4.5,ATTACK,3.0
Prontera Royal Salad,9,FRY,MAX_SP,9.0,MAGIC_DEFENSE,3.0
Prontera Royal Steak,9,FRY,DEFENSE,4.5,MAX_HP,30.0
Original Will-Fish Steak,10,FRY,ATTACK,4.5,ATTACK,3.0
Original Will-Salad,10,FRY,MAX_SP,9.0,MAGIC_DEFENSE,3.0
Original Will-Steak,10,FRY,DEFENSE,4.5,MAX_HP,30.0
Rookie Fruit Slices,1,GRILL,MAGIC_ATTACK,1.5,MAGIC_ATTACK,1.0
Rookie Meat Kebab,1,GRILL,MAX_HP,15.0,MAX_HP,10.0
Rookie Seafood Kebab,1,GRILL,ATTACK,1.5,ATTACK,1.0
Rookie Vegetable Kebab,1,GRILL,MAX_SP,3.0,MAX_SP,2.0
Satisfied Feast,1,GRILL,ATTACK,4.5,MAX_HP,30.0
Island Kebab,2,GRILL,ATTACK,1.5,ATTACK,1.0
Magic Meat Kebab,2,GRILL,MAGIC_ATTACK,3.0,DEFENSE,2.0
MSG,2,GRILL,MAGIC_DEFENSE,1.5,MAX_SP,2.0
Popular Kebab,2,GRILL,DEFENSE,1.5,MAX_HP,10.0
Izlude Pride,3,GRILL,ATTACK,1.5,DEFENSE,1.0
Starving Kebabs,3,GRILL,DEFENSE,1.5,MAGIC_DEFENSE,1.0
Farmer's Smile,4,GRILL,MAX_SP,3.0,MAGIC_DEFENSE,1.0
Flame Vegetable Kebab,4,GRILL,MAX_SP,6.0,MAGIC_DEFENSE,2.0
Gold Kebab,4,GRILL,MAGIC_DEFENSE,3.0,DEFENSE,2.0
Superb Seafood Kebab,4,GRILL,ATTACK,3.0,DEFENSE,2.0
Yummy Kebab,5,GRILL,DEFENSE,3.0,MAGIC_DEFENSE,2.0
Yummy Seafood Kebab,5,GRILL,ATTACK,3.0,DEFENSE,2.0
Yummy Vegetables,5,GRILL,MAGIC_DEFENSE,3.0,MAGIC_ATTACK,2.0
Magic Green BBQ,6,GRILL,MAGIC_ATTACK,3.0,MAGIC_DEFENSE,2.0
Magic Seafood Kebab,6,GRILL,ATTACK,3.0,MAGIC_DEFENSE,2.0
Call From Ocean,7,GRILL,ATTACK,3.0,DEFENSE,2.0
Gold Cross Kebab,7,GRILL,MAX_HP,30.0,DEFENSE,2.0
Payon's Vegetable Kebab,7,GRILL,MAGIC_DEFENSE,3.0,MAGIC_ATTACK,2.0
Giant Pagoda,8,GRILL,MAX_HP,45.0,DEFENSE,3.0
Sky Blade,8,GRILL,MAGIC_DEFENSE,4.5,MAGIC_ATTACK,3.0
Trubius Seafood Kebab,8,GRILL,ATTACK,4.5,DEFENSE,3.0
Prontera Royal Fish Kebab,9,GRILL,ATTACK,4.5,DEFENSE,3.0
Prontera Royal Green BBQ,9,GRILL,MAGIC_ATTACK,4.5,MAGIC_DEFENSE,3.0
Prontera Royal Kebab,9,GRILL,MAX_HP,45.0,DEFENSE,3.0
Original Will-Fish Kebab,10,GRILL,ATTACK,4.5,DEFENSE,3.0
Original Will-Green Kebab,10,GRILL,MAGIC_ATTACK,4.5,MAGIC_DEFENSE,3.0
Original Will-Kebab,10,GRILL,MAX_HP,45.0,DEFENSE,3.0
Rookie Black Tea,1,BOIL,MAGIC_ATTACK,1.5,MAGIC_ATTACK,1.0
Rookie Broth,1,BOIL,MAX_HP,15.0,MAX_HP,10.0
Rookie Fish Soup,1,BOIL,ATTACK,1.5,ATTACK,1.0
Rookie Vegetable Soup,1,BOIL,MAX_SP,3.0,MAX_SP,2.0
Fish Head Soup,2,BOIL,ATTACK,1.5,ATTACK,1.0
Fragrant Broth,2,BOIL,DEFENSE,1.5,DEFENSE,1.0
Mum's Soup,2,BOIL,MAGIC_DEFENSE,1.5,MAGIC_ATTACK,1.0
Delicious Vegetable Soup,3,BOIL,MAGIC_DEFENSE,1.5,MAGIC_ATTACK,1.0
Music Box Broth,3,BOIL,DEFENSE,1.5,MAX_HP,10.0
Warm Current,3,BOIL,MAGIC_DEFENSE,1.5,ATTACK,1.0
Satisfied,4,BOIL,DEFENSE,3.0,MAX_SP,4.0
Singing Soul,4,BOIL,MAGIC_DEFENSE,3.0,ATTACK,2.0
