name,item_name,quantity,unit_price_shells
Poring,Green Apple,3,10
Lunatic,Rainbow Carrot,3,10
Yoyo,Tropical Banana,4,40
Desert Wolf Baby,Well-Dried Bone,4,60
Savage Babe,Sweet Milk,3,80
Mandragora Seed,Nutrition Potion,5,150
Green Petite,Shining Stone,6,150
Isis,Armlet of Obedience,6,200
Cruiser,Toy Gun,6,240
Teddy Bear,Gift Box,6,280
Spore,Moss,3,40
Poison Spore,Poisonous Weed,3,40
Rocker,Whistling Flower,3,60
Whisper,Oak Trunk,4,60
Peco Peco,Nutritious Worm,3,80
Munak,Magic Letter,3,80
Golem,Magic Plate,3,100
Orc Warrior,Monster's Proof,4,150
Dokebi,Monster Besom,3,150
Goblin (Buckler),Goblin (Buckler)'s Ring,4,180
Quve,Black Cloth,5,300
Marina,Unicellular,3,120
Typhoon,Withered Leaf,5,180
Yolk Poring,Cracked Eggshell,3,150
Injustice,Red Candle,5,200
Roween,Fresh Fish,5,280
Lantern Fisherman,Fresh Shrimps,5,150
Mimmy Monster,Vanilla Pudding,5,150
Fur Seal,Sweet Dream Pink-tailed Fish,-1,150
Nigel Bird,Assisting Cane,5,80
Driller,Heart of Thorns,-1,150
Sohee,Silver Knife of Chastity,7
Baphomet Jr.,Book of the Devil,7
Little Witch,Worn out Gorgeous Clip,7
Deviruchi,Contract in Shadow,6
Succubus,Swaying Apron,5
Incubus,Love Letter,5
Marmot,Monster Shield,5
Dullahan,Piece of Armor,6
Mechanical Hound,Damaged Parts,5
Small Siroma,Ice Heart,5
Panda Poring,Delicious Bamboo Shoots,5
Doll Devil,Rainbow Lollipop,5
Fairy Fox,Jade Piece of Demonic Fire,-1
