name,item_name,quantity,unit_price_shells
Poring,Green Apple,3,10
Lunatic,Rainbow Carrot,3
Yoyo,Tropical Banana,4
Desert Wolf Baby,Well-Dried Bone,4
Savage Babe,Sweet Milk,3
Mandragora Seed,Nutrition Potion,5
Green Petite,Shining Stone,6
Isis,Armlet of Obedience,6
Deviruchi,Contract in Shadow,6
Cruiser,Toy Gun,6
Teddy Bear,Gift Box,6
Sohee,Silver Knife of Chastity,7
Baphomet Jr.,Book of the Devil,7
Little Witch,Worn out Gorgeous Clip,7
Spore,Moss,3
Poison Spore,Poisonous Grass,3
Rocker,Whistling Flower,3
Whisper,Oak Trunk,4
Peco Peco,Nutritious Worm,3
Munak,Magic Letter,3
Golem,Magic Plate,3
Orc Warrior,Monster's Proof,4
Dokebi,Monster Besom,3
Goblin (Buckler),Goblin Buckler's Ring,4
Quve,Black Cloth,5
Succubus,Swaying Apron,5
Incubus,Love Letter,5
Marmot,Monster Shield,5
Dullahan,Piece of Armor,6
Marina,Unicellular,3
Typhoon,Withered Leaf,5
Mechanical Hound,Damaged Parts,5
Yolk Poring,Cracked Eggshell,3
Injustice,Red Candle,5
Roween,Fresh Fish,5
Small Siroma,Ice Heart,5
Lantern Fisherman,Fresh Shrimps,5
Panda Poring,Delicious Bamboo Shoots,5
Mimmy Monster,Vanilla Pudding,5
Doll Devil,Rainbow Lollipop,5
